iter	Logloss
0	0.6192414934
1	0.5718738957
2	0.5341545595
3	0.4914831533
4	0.4376316819
5	0.4156437809
6	0.3964588622
7	0.3810819699
8	0.366470083
9	0.3512565676
10	0.3194194885
11	0.3103631262
12	0.2990131987
13	0.290135328
14	0.2816286908
15	0.2765804652
16	0.258624268
17	0.2538411805
18	0.2405198358
19	0.2362801892
20	0.2320367968
21	0.2285483782
22	0.2251299713
23	0.2213780786
24	0.2182518683
25	0.2149270945
26	0.2124957714
27	0.2100442565
28	0.2057121131
29	0.2034606468
30	0.2010540533
31	0.1992116885
32	0.1972691455
33	0.1950854849
34	0.1932962077
35	0.1917648144
36	0.1898626876
37	0.1858375377
38	0.1845776033
39	0.1828326414
40	0.1809356992
41	0.1794177598
42	0.1781836056
43	0.1767967447
44	0.1759296226
45	0.1745405347
46	0.1685489298
47	0.1673129213
48	0.1661477927
49	0.1654273408
50	0.1646767034
51	0.1602782654
52	0.1592241891
53	0.158466564
54	0.1576500538
55	0.1566306491
56	0.1558883367
57	0.1553452707
58	0.1546603133
59	0.1539231025
60	0.1533466647
61	0.1526181218
62	0.1519544122
63	0.1512889116
64	0.1507484438
65	0.1501052386
66	0.1493918514
67	0.1488481007
68	0.1481982918
69	0.1477336437
70	0.1473544514
71	0.1466107783
72	0.1462048452
73	0.1457636232
74	0.1453816694
75	0.1450353977
76	0.1445644943
77	0.1440706183
78	0.14366327
79	0.1431996607
80	0.1421497742
81	0.1417200299
82	0.1414171056
83	0.140984367
84	0.1406859797
85	0.140402779
86	0.1400716724
87	0.1395609473
88	0.1392704901
89	0.1389642314
90	0.1384880028
91	0.1381526476
92	0.1378977538
93	0.1375614661
94	0.1372621008
95	0.1368506428
96	0.136511222
97	0.1361364921
98	0.135799814
99	0.1353089044
100	0.1350331947
101	0.1348855861
102	0.1346324499
103	0.134389984
104	0.1340177389
105	0.1337607717
106	0.1335140553
107	0.1332599775
108	0.1330319601
109	0.1327364211
110	0.1324405687
111	0.1321324073
112	0.1319459431
113	0.1317099743
114	0.1314696969
115	0.1311630204
116	0.1307629309
117	0.130587548
118	0.1304150341
119	0.1302507386
120	0.1300783253
121	0.1298910544
122	0.1296389693
123	0.1294680451
124	0.1292054996
125	0.1289442366
126	0.1286709148
127	0.1284926389
128	0.1282656428
129	0.1279898656
130	0.1277843859
131	0.1275714654
132	0.1273697368
133	0.1271106257
134	0.126932829
135	0.1267142908
136	0.1265059874
137	0.12626679
138	0.126061088
139	0.1258595126
140	0.1257185625
141	0.1255124553
142	0.1253349072
143	0.1250890375
144	0.12485809
145	0.1246451161
146	0.1245139852
147	0.1243105544
148	0.1240684246
149	0.1239525049
150	0.1237289215
151	0.1235229797
152	0.1232947985
153	0.1231531667
154	0.1229140723
155	0.1227691411
156	0.1225594027
157	0.1212845926
158	0.1211476754
159	0.1210015428
160	0.1207961577
161	0.1206910922
162	0.1205374219
163	0.120395893
164	0.1202498478
165	0.1201279922
166	0.1199917644
167	0.119852027
168	0.1196759556
169	0.1195348065
170	0.119369245
171	0.1191996156
172	0.1190683486
173	0.1189541758
174	0.1188594363
175	0.1187439959
176	0.1185265731
177	0.1184352062
178	0.1182865204
179	0.1181821062
180	0.1180566268
181	0.1179130982
182	0.1177040694
183	0.117584037
184	0.1174706141
185	0.1173429236
186	0.1171874379
187	0.1169646507
188	0.1167989668
189	0.116666555
190	0.1165409313
191	0.1164070469
192	0.1162738289
193	0.1161551084
194	0.1160135397
195	0.1159083093
196	0.1157851395
197	0.1156060388
198	0.1154447555
199	0.1153087841
200	0.1151979754
201	0.115070053
202	0.1149556255
203	0.1148026064
204	0.1146501794
205	0.1145578482
206	0.1144285011
207	0.1143010233
208	0.1141524616
209	0.1139293474
210	0.1138282865
211	0.1136848381
212	0.1135323804
213	0.1134398698
214	0.1133239909
215	0.1131862868
216	0.1130482383
217	0.1129343237
218	0.1128433649
219	0.112710117
220	0.1125889407
221	0.112495756
222	0.112392917
223	0.1122551857
224	0.1121460831
225	0.1119955904
226	0.1118539317
227	0.1117746592
228	0.1116786055
229	0.1115589071
230	0.1114250385
231	0.1113313432
232	0.1111878269
233	0.1111047952
234	0.1109189728
235	0.1107924687
236	0.1106261021
237	0.11051804
238	0.1104307934
239	0.1103457791
240	0.1102693803
241	0.1101703786
242	0.1100783972
243	0.1099000326
244	0.1098030904
245	0.1096912136
246	0.1095913429
247	0.1095040854
248	0.1093789127
249	0.1093002947
250	0.1092090813
251	0.109117761
252	0.1089869761
253	0.1088279833
254	0.1086969483
255	0.1085962887
256	0.108411163
257	0.108299519
258	0.1082075531
259	0.1081258269
260	0.1080411216
261	0.1079479421
262	0.1078773979
263	0.107736183
264	0.1076397131
265	0.107543438
266	0.1074738599
267	0.107394456
268	0.1073144711
269	0.1072371528
270	0.1071399827
271	0.1070608257
272	0.1069000009
273	0.1068147973
274	0.106745921
275	0.1066752346
276	0.106610014
277	0.1065177447
278	0.1064023304
279	0.1062523264
280	0.1061612447
281	0.1060831586
282	0.1060134297
283	0.1059443585
284	0.1058256275
285	0.105746725
286	0.1056470439
287	0.1055761642
288	0.1054241469
289	0.1053128504
290	0.1052342348
291	0.1051323585
292	0.105035769
293	0.1049789652
294	0.1049141148
295	0.10485403
296	0.1047728481
297	0.1045874113
298	0.1044642994
299	0.1043474859
300	0.1042836963
301	0.1042178826
302	0.1041460008
303	0.1040969426
304	0.1040355919
305	0.1039791639
306	0.1038974664
307	0.1038263756
308	0.1037402103
309	0.103606741
310	0.1035193732
311	0.1034332719
312	0.1033536
313	0.103280675
314	0.1032091832
315	0.1031536951
316	0.1030757921
317	0.1029722605
318	0.1028785702
319	0.1027920831
320	0.1026935845
321	0.1026024552
322	0.1025195355
323	0.1024481396
324	0.1023728707
325	0.1022999091
326	0.10222737
327	0.1021544608
328	0.1020922445
329	0.1020133681
330	0.1019376521
331	0.1017852324
332	0.101708905
333	0.1016157904
334	0.1015394342
335	0.1014748834
336	0.1014088497
337	0.1013578334
338	0.1012868013
339	0.1012157892
340	0.1011480727
341	0.1010692674
342	0.1009984035
343	0.1009319983
344	0.1008708971
345	0.1008015463
346	0.1007313077
347	0.1006270514
348	0.100541387
349	0.1004859091
350	0.1004246781
351	0.1003438729
352	0.1002902944
353	0.1002386972
354	0.1001742872
355	0.1001168554
356	0.1000474987
357	0.09997029948
358	0.09992045909
359	0.09987416235
360	0.09980419458
361	0.09971353562
362	0.09965104166
363	0.09959415507
364	0.09951783925
365	0.09946370617
366	0.09939911402
367	0.09933381486
368	0.09927025863
369	0.09921592615
370	0.09915985588
371	0.09906106953
372	0.09899182806
373	0.09894045643
374	0.09889811284
375	0.09883164281
376	0.09874342425
377	0.09867956305
378	0.09861729059
379	0.09853074951
380	0.09847595784
381	0.09842665475
382	0.09835868805
383	0.09826094169
384	0.0982196064
385	0.09815584036
386	0.09805904524
387	0.09801004396
388	0.09795373539
389	0.09789637507
390	0.0978550417
391	0.09781281219
392	0.09776358383
393	0.09770704901
394	0.09764123198
395	0.09759282647
396	0.09751728128
397	0.09745235962
398	0.09738373664
399	0.09731519271
400	0.09717721192
401	0.09712547038
402	0.0970461594
403	0.09700343076
404	0.09692956815
405	0.09686760498
406	0.09679966831
407	0.09673868947
408	0.09668042572
409	0.09662946426
410	0.09656829373
411	0.09648237347
412	0.09641501031
413	0.09636286345
414	0.09631143469
415	0.09620951248
416	0.09612494873
417	0.09604807197
418	0.09598811343
419	0.09595106471
420	0.0959094275
421	0.09584778025
422	0.09580916855
423	0.09572899376
424	0.09565725564
425	0.09560707586
426	0.09555760742
427	0.09550513697
428	0.09544723793
429	0.09536147019
430	0.09530667951
431	0.09523905598
432	0.09518464353
433	0.09512005004
434	0.09506646867
435	0.09500988068
436	0.09495530504
437	0.09490820154
438	0.09485799942
439	0.09482117842
440	0.09476542213
441	0.0947009131
442	0.09462576553
443	0.0945676334
444	0.09450796097
445	0.09444771805
446	0.09437135662
447	0.0943310013
448	0.09427804276
449	0.0941596629
450	0.0941105665
451	0.09405946048
452	0.09402317385
453	0.09397338856
454	0.09392332271
455	0.09387418428
456	0.09382718442
457	0.09375333404
458	0.09370736875
459	0.0936588417
460	0.09361789991
461	0.09354501469
462	0.09346216465
463	0.09340815103
464	0.09335055332
465	0.09327935423
466	0.09322647231
467	0.09317715697
468	0.0931276226
469	0.09307202282
470	0.09300623838
471	0.09295773825
472	0.09290357005
473	0.09286751609
474	0.09280768103
475	0.09273938203
476	0.09268997836
477	0.09263103967
478	0.09259039596
479	0.09254084721
480	0.09250653868
481	0.09245067239
482	0.09236624825
483	0.09230345509
484	0.09225026114
485	0.09219936236
